date,temp_id,Tcham,resp,methane
2020-08-07,amb,22.007309941520468,0.0020882979129392067,3.5893654621545604e-6
2020-08-07,cold-14,15.854853801169591,6.880851635377631e-4,1.8063482225632096e-6
2020-08-07,12.5,16.73906432748538,-8.615217291333561e-4,1.2167600162789493e-6
2020-08-07,17.5,22.386023391812866,0.0010454729379416733,2.205174189410541e-6
2020-08-07,22.5,23.1980701754386,0.001441694523545285,3.1469395069034397e-6
2020-08-07,27.5,26.453976608187133,0.002491156512636365,5.274938422425132e-6
2020-08-07,32.5,26.98795321637427,0.003464858094512397,7.3358820885658915e-6
2020-08-07,37.5,30.953216374269008,0.0047026633028265236,9.848086350746809e-6
2020-08-07,42.5,31.364795321637427,0.005702607911920665,9.61995082244814e-6
2020-08-07,47.5,32.66409356725146,0.008149393248365952,7.535396436867083e-6
2020-08-08,50,36.23491228070176,0.007953943722122134,2.6755942524399787e-6
